04B;B08DPFI   ;69;0;9;12/01/2012;29/01/2013; ;F;T;B08DPFI   ; ;Français concours - MCD;Multi-financement;BB-APPCAP ;BB-IRIS   ;F;F;0;297;0;50;0;09/01/2012;19/12/2012;0;0;0;0;1;15;0;0;0;0;0;0;0;15;0;8;1;131;0;0;GCC       ;ROUY-MARI ; ;          ;F; ; ;        ; ; ; ; ; ; ; ; ; ; ;F;             ;7617;0;;0;F;          ;12MB; ; ;        ;F;0;F;0;;;          ;0;     ;48198
04B;B13GE     ;138;0;9;12/01/2012;29/08/2012; ;F;T;B13GE     ; ;Electrotechnique 1er Semestre 2012;;BB-EF3M   ;BB-DASSAU ;F;F;0;152;0;20;0;06/01/2012;30/06/2012;0;0;0;0;1;15;0;0;0;0;0;0;0;15;0;8;1;255;0;0;IND       ;NONE-FLOR ; ;          ;F; ; ;        ; ; ; ; ; ; ; ; ; ; ;F;             ;0;0;;0;F;          ;12FN; ; ;        ;F;0;F;0;;;          ;0;     ;48199
04B;B03DIPLOM ;341;0;9;12/01/2012;04/09/2012; ;F;T;B03DIPLOM ; ;SHR/SCIENCES APPLIQUEES;;BB-GASCOG ;BB-GASCOG ;F;F;0;155;1;40;0;03/01/2012;30/06/2012;0;0;0;0;1;15;0;0;0;0;0;0;0;15;0;3;1;334;0;0;CHR       ;GOUA-CECI ; ;          ;F; ; ;        ;F;F;F;F;F;F;F;F;F;F;F;             ;0;0;;0;F;          ;12CG; ; ;        ;F;0;F;0;;;          ;0;     ;48200
04B;B13GE     ;137;0;9;12/01/2012;16/07/2012; ;F;T;B13GE     ; ;Automatisme Electronique 1ER SEMESTRE 2012;;BB-EF3M   ;BB-DASSAU ;F;F;0;151;0;20;0;06/01/2012;29/06/2012;0;0;0;0;1;15;0;0;0;0;0;0;0;15;0;8;1;255;0;0;IND       ;NONE-FLOR ; ;          ;F; ; ;        ;F;F;F;F;F;F;F;F;F;F;F;             ;7618;0;;0;F;          ;12FN; ; ;        ;F;0;F;0;;;          ;0;     ;48201
04B;B08DPFI   ;68;0;9;12/01/2012;29/01/2013; ;F;T;B08DPFI   ; ;Prévention Santé Environnement / CSS - AA;Multi-financement;BB-APPCAP ;BB-IRIS   ;F;F;0;291;0;50;0;16/01/2012;19/12/2012;0;0;0;0;1;15;0;0;0;0;0;0;0;15;0;8;1;100;0;0;GCC       ;ROUY-MARI ; ;          ;F; ; ;        ; ; ; ; ; ; ; ; ; ; ;F;             ;0;0;;0;F;          ;12MB; ; ;        ;F;0;F;0;;;          ;0;     ;48202
04B;B08DPFI   ;71;0;9;12/01/2012;29/01/2013; ;F;T;B08DPFI   ; ;Apprendre à apprendre V - AD;Multi-financement;BB-APPCAP ;BB-IRIS   ;F;F;0;235;0;50;0;06/03/2012;04/12/2012;0;0;0;0;1;15;0;0;0;0;0;0;0;15;0;8;1;100;0;0;GCC       ;ROUY-MARI ; ;          ;F; ; ;        ; ; ; ; ; ; ; ; ; ; ;F;             ;7619;0;;0;F;          ;12MB; ; ;        ;F;0;F;0;;;          ;0;     ;48203
04B;B08DPFI   ;72;0;9;12/01/2012;29/01/2013; ;F;T;B08DPFI   ; ;Français VI - IL (SDB);Multi-financement;BB-APPCAP ;BB-IRIS   ;F;F;0;298;0;50;0;09/01/2012;20/12/2012;0;0;0;0;1;15;0;0;0;0;0;0;0;15;0;8;1;131;0;0;GCC       ;ROUY-MARI ; ;          ;F; ; ;        ; ; ; ; ; ; ; ; ; ; ;F;             ;0;0;;0;F;          ;12MB; ; ;        ;F;0;F;0;;;          ;0;     ;48204
04B;B08DPFI   ;73;0;9;12/01/2012;26/04/2013; ;F;T;B08DPFI   ; ;Culture Générale - IL;Multi-financement;BB-APPCAP ;BB-IRIS   ;F;F;0;295;0;50;0;09/01/2012;17/12/2012;0;0;0;0;1;15;0;0;0;0;0;0;0;15;0;8;1;100;0;0;GCC       ;ROUY-MARI ; ;          ;F; ; ;        ; ; ; ; ; ; ; ; ; ; ;F;             ;0;0;;0;F;          ;12MB; ; ;        ;F;0;F;0;;;          ;0;     ;48205
04B;B08DPFI   ;74;0;9;12/01/2012;26/02/2013; ;F;T;B08DPFI   ; ;Apprendre à apprendre VI - IL;Multi-financement;BB-APPCAP ;BB-IRIS   ;F;F;0;277;0;50;0;03/02/2012;21/12/2012;0;0;0;0;1;15;0;0;0;0;0;0;0;15;0;8;1;100;0;0;GCC       ;ROUY-MARI ; ;          ;F; ; ;        ; ; ; ; ; ; ; ; ; ; ;F;             ;0;0;;0;F;          ;12MB; ; ;        ;F;0;F;0;;;          ;0;     ;48206
04B;B08DPFI   ;70;0;9;12/01/2012;29/01/2013; ;F;T;B08DPFI   ; ;Français V-IV - AD;Multi-financement;BB-APPCAP ;BB-IRIS   ;F;F;0;302;0;50;0;05/01/2012;21/12/2012;0;0;0;0;1;15;0;0;0;0;0;0;0;15;0;8;1;131;0;0;GCC       ;ROUY-MARI ; ;          ;F; ; ;        ; ; ; ; ; ; ; ; ; ; ;F;             ;0;0;;0;F;          ;12MB; ; ;        ;F;0;F;0;;;          ;0;     ;48207
